,1,2,3,4,5,6,7,8,9,10
1,-1,0.333333333,0.333333333,0.5,0.166666667,0.166666667,0,0.5,0.5,0
2,0.666666667,-1,1,0.857142857,1,0.75,0.428571429,0.5,0.666666667,0.4
3,0.666666667,0,-1,0.333333333,0.2,0,0,0.4,0.166666667,0
4,0.5,0.142857143,0.666666667,-1,0.25,0.666666667,0.333333333,0.25,0.333333333,0.333333333
5,0.833333333,0,0.8,0.75,-1,0.333333333,0.2,0.6,0.666666667,1
6,0.833333333,0.25,1,0.333333333,0.666666667,-1,1,0.333333333,0.666666667,0.833333333
7,1,0.571428571,1,0.666666667,0.8,0,-1,0.75,0.428571429,0.666666667
8,0.5,0.5,0.6,0.75,0.4,0.666666667,0.25,-1,0.75,0.5
9,0.5,0.333333333,0.833333333,0.666666667,0.333333333,0.333333333,0.571428571,0.25,-1,0
10,1,0.6,1,0.666666667,0,0.166666667,0.333333333,0.5,1,-1